sch98v1,prs,t1,elg98,p1,mk96_s,Y98sap1,Y98sap2,Y98sap3,Y98sap4,Istd1,Istd2,Istd3,Istd4,Istd5,Istd6,Istd7,Istd8,Istd9,Isem1,Isem2,Isem3,pop1_3km_updated,pop2_3km_updated,pop1_36k_updated,pop2_36k_updated,popT_36k_updated,popT_3km_updated,wgrp,obs,treatment,control,matched_out,_pscore,_treated,_support,_weight,_prs,_id,_n1,_nn,_pdif,treat_effect,sap_any,pop_3km_pctile,incl_prob1,incl_prob1_alt,incl_prob2
218,.92561984,0,.85840708,.79001158,.098069862,0,0,0,0,0,.11504425,.21238938,.14159292,.17699115,.088495575,.07079646,.10619469,.03539823,.26155359,.095378563,0,0,527.54071,291.09409,235.77222,1117.2382,996.44067,3,363,0,1,.67392617,.9020328407542959,Treated,On support,1,.6739261746406555,44,25,1,.07521504486653,-.25169367,0,1164.6685,.2,.06666667,.16470589
294,.83806449,0,.8945055,.27367029,.15437861,0,0,0,0,0,.16703297,.18241759,.15824176,.11648352,.11208791,.072527476,.061538462,.07692308,.30158731,.07692308,0,0,1128.0872,2485.9927,0,3920.011,1128.0872,3,1550,0,1,.96020871,.5019728719065019,Treated,On support,1,.9602087140083313,32,18,1,.0171688047625947,.12214422,0,1164.6685,.2,.06666667,.16470589
190,.66278315,0,.88218391,.50157988,-.14901547,0,0,0,.77777779,.048850574,.25,.15229885,.091954023,.097701147,.091954023,.083333336,.071839079,.066091955,.40006384,.093231164,0,244.8,573.9278,2977.7476,1194.6323,5845.6494,1143.8719,3,1545,0,1,.67392617,.9943552807512689,Treated,On support,1,.6739261746406555,50,25,1,.167537484863503,.011143029,1,1164.6685,.2,.06666667,.89999998
212,.76563352,0,.90778691,.47822773,-.46520594,0,0,0,0,0,.051229507,.19877049,.16188525,.11885246,.096311472,.10655738,.10040984,.11680328,.33128417,.087431692,0,399.0152,0,1451.2981,1580.359,3465.5059,1185.465,3,1839,0,1,.61636829,.547977844781271,Treated,On support,1,.616368293762207,35,20,1,.0017108558587996,-.14926523,0,1164.6685,.69999999,.89999998,.16470589
167,.56562793,0,.89640886,.38451245,.086535275,0,0,.77777779,0,.096685082,.16298343,.17541437,.11464088,.095303871,.10359116,.095303871,.064917125,.053867403,.39640883,.091160223,0,506.57889,505.7619,1486.8516,1484.3762,4324.7622,1471.0692,3,3177,0,1,.67392617,.8254940616107406,Treated,On support,1,.6739261746406555,42,25,1,.0013237342770254,.10829824,1,1164.6685,.69999999,.89999998,.89999998
189,.50842535,0,.89603961,.5080772,-.54352164,0,0,0,.77777779,.23267327,.14603961,.13613862,.10643564,.076732673,.081683166,.054455444,.064356439,.056930695,.38421342,.089108914,0,0,1281.519,1777.2396,708.61914,3988.2815,1498.1128,3,1721,0,1,.67392617,.915556962764838,Treated,On support,1,.6739261746406555,45,25,1,.0887391668770721,.16550082,1,1164.6685,.69999999,.89999998,.89999998
270,.96292484,0,.8652482,.28599977,.28836349,0,0,0,0,0,.05319149,.20212767,.17375886,.11347517,.12056737,.10283688,.10638298,.08510638,.28999212,.09259259,0,546.2547,736.0976,448.39642,857.95905,2076.6614,1498.7896,3,971,0,1,.67392617,.9473565008627471,Treated,On support,1,.6739261746406555,47,25,1,.1205387049749812,-.28899866,0,1164.6685,.69999999,.89999998,.16470589
202,.80611485,0,.8984375,.49298319,-.5011856,0,0,0,0,0,.10677084,.18229167,.15104167,.13541667,.1328125,.091145836,.088541664,.065104164,.3052662,.082754627,0,0,1236.042,1443.9287,1177.9895,3719.3259,1627.2982,3,1341,0,1,.93075359,.4708246405758103,Treated,On support,1,.9307535886764526,31,17,1,.0127508637065908,.12463874,0,1164.6685,.69999999,.89999998,.16470589
285,.70192307,0,.88837206,.37466064,.067995869,0,0,0,0,0,.12093023,.1255814,.14186047,.14418605,.15116279,.10697675,.095348835,.067441858,.31937984,.08372093,0,244.8,890.2135,2578.3726,1384.2189,5661.4897,1640.7382,3,1560,0,1,.77856582,.3331569704109058,Treated,On support,1,.7785658240318298,27,14,1,.0325259402869663,.076642752,0,1164.6685,.69999999,.89999998,.16470589
193,.81302524,0,.86633664,.27286819,.17328283,0,0,0,.77777779,.054455444,.11881188,.14356436,.11881188,.13366337,.094059408,.10891089,.069306932,.089108914,.43949395,.084158413,0,1149.5889,584.62341,1819.7161,573.92786,4642.123,1734.2123,3,952,0,1,.89214253,.570721100504296,Treated,On support,1,.8921425342559814,37,21,1,.0106023280342238,.079117298,1,1164.6685,.69999999,.89999998,.89999998
