schid,pup_pop,zoneid,z_inf98,distlake,latr_pup,mk96_s,z9899_78,z9899_34,z9899_56,wgrp,sch1_1km_original,sch2_1km_original,sch3_1km_original,schT_1km_original,pop1_1km_original,pop2_1km_original,pop3_1km_original,popT_1km_original,sch1_2km_original,sch2_2km_original,sch3_2km_original,schT_2km_original,pop1_2km_original,pop2_2km_original,pop3_2km_original,popT_2km_original,sch1_3km_original,sch2_3km_original,sch3_3km_original,schT_3km_original,pop1_3km_original,pop2_3km_original,pop3_3km_original,popT_3km_original,sch1_4km_original,sch2_4km_original,sch3_4km_original,schT_4km_original,pop1_4km_original,pop2_4km_original,pop3_4km_original,popT_4km_original,sch1_5km_original,sch2_5km_original,sch3_5km_original,schT_5km_original,pop1_5km_original,pop2_5km_original,pop3_5km_original,popT_5km_original,sch1_6km_original,sch2_6km_original,sch3_6km_original,schT_6km_original,pop1_6km_original,pop2_6km_original,pop3_6km_original,popT_6km_original,sch1_36k_original,sch2_36k_original,sch3_36k_original,schT_36k_original,pop1_36k_original,pop2_36k_original,pop3_36k_original,popT_36k_original,schT_1km_updated,popT_1km_updated,schT_2km_updated,popT_2km_updated,schT_3km_updated,popT_3km_updated,schT_4km_updated,popT_4km_updated,schT_5km_updated,popT_5km_updated,schT_6km_updated,popT_6km_updated,sch1_1km_updated,pop1_1km_updated,sch1_2km_updated,pop1_2km_updated,sch1_3km_updated,pop1_3km_updated,sch1_4km_updated,pop1_4km_updated,sch1_5km_updated,pop1_5km_updated,sch1_6km_updated,pop1_6km_updated,sch2_1km_updated,pop2_1km_updated,sch2_2km_updated,pop2_2km_updated,sch2_3km_updated,pop2_3km_updated,sch2_4km_updated,pop2_4km_updated,sch2_5km_updated,pop2_5km_updated,sch2_6km_updated,pop2_6km_updated,sch3_1km_updated,pop3_1km_updated,sch3_2km_updated,pop3_2km_updated,sch3_3km_updated,pop3_3km_updated,sch3_4km_updated,pop3_4km_updated,sch3_5km_updated,pop3_5km_updated,sch3_6km_updated,pop3_6km_updated,schT_36k_updated,popT_36k_updated,sch1_36k_updated,pop1_36k_updated,sch2_36k_updated,pop2_36k_updated,sch3_36k_updated,pop3_36k_updated
285,366,1,.27247956,10.134,.010928961,.12981172,.21428572,.42292491,.3018868,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,6,244.79999,890.21356,505.72488,1640.7384,2,3,3,8,495.05453,890.21356,964.45325,2349.7214,3,4,4,11,1001.6335,1183.9366,1173.2231,3358.7932,3,4,4,11,1001.6335,1183.9366,1173.2231,3358.7932,2,1,2,5,756.8335,293.72308,667.49829,1718.0548,0,0,0,0,6,1640.7382,8,2349.7214,14,4429.2134,21,7302.228,0,0,0,0,1,244.8,2,495.0545,5,1867.0938,8,2823.1726,0,0,0,0,3,890.2135,3,890.2135,4,1183.9365,6,2274.4324,0,0,0,0,2,505.72479,3,964.45319,5,1378.183,7,2204.6223,15,5661.4897,7,2578.3726,3,1384.2189,5,1698.8975
286,279,1,.27247956,9.3800001,,-.38218212,.21428572,.42292491,.3018868,1,0,0,0,0,0,0,0,0,0,1,1,2,0,316.28571,190.96552,507.25122,0,2,1,3,0,822.15826,190.96552,1013.1238,0,2,2,4,0,822.15826,516.10968,1338.2679,1,4,6,11,214.17776,1297.4758,1793.7135,3305.3672,1,4,6,11,214.17776,1297.4758,1793.7135,3305.3672,1,2,5,8,214.17776,475.31757,1602.748,2292.2434,0,0,2,507.25122,3,1013.1237,4,1338.2679,13,3942.5005,16,4636.1943,0,0,0,0,0,0,0,0,2,458.97778,2,458.97778,0,0,1,316.28571,2,822.1582,2,822.1582,5,1689.8091,6,1776.6663,0,0,1,190.9655,1,190.9655,2,516.10968,6,1793.7135,8,2400.5505,13,3623.071,2,458.97778,4,954.50806,7,2209.585
288,604,6,.41836736,14.275,.0066225166,.47285831,.40944883,.52459013,.45945945,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,208.76987,208.76987,1,0,2,3,136.56757,0,529.00287,665.57043,5,2,4,11,1722.7927,766.2179,1048.7222,3537.7329,5,2,4,11,1722.7927,766.2179,1048.7222,3537.7329,5,2,3,10,1722.7927,766.2179,839.95227,3328.9631,0,0,0,0,1,208.7699,4,980.32983,15,4523.9663,21,6484.4194,0,0,0,0,0,0,1,136.5676,7,2171.1892,9,2877.2825,0,0,0,0,0,0,0,0,4,1304.0552,6,1894.3049,0,0,0,0,1,208.7699,3,843.76221,4,1048.7222,6,1712.8315,20,6275.6489,9,2877.2825,6,1894.3049,5,1504.0616
289,206,7,.25506073,20.346001,.009708738,.99340832,.19444445,.27972028,.31707317,2,0,1,0,1,0,184.9617,0,184.9617,0,2,0,2,0,452.67099,0,452.67099,1,3,2,6,323.33856,722.79901,770.30603,1816.4436,1,3,4,8,323.33856,722.79901,1206.5162,2252.6538,3,3,5,11,1058.1715,722.79901,1545.4814,3326.4519,3,3,5,11,1058.1715,722.79901,1545.4814,3326.4519,2,0,3,5,734.83295,0,775.17542,1510.0083,1,405.28809,2,672.99738,6,2036.77,8,2472.98,12,3769.6941,16,5152.7319,0,0,0,0,1,323.33859,1,323.33859,4,1281.0876,5,1816.4706,1,405.28809,2,672.99738,3,943.12537,3,943.12537,3,943.12537,6,1790.7798,0,0,0,0,2,770.30603,4,1206.5162,5,1545.4813,5,1545.4813,10,3115.9617,4,1493.132,3,847.65442,3,775.17529
290,480,7,.25506073,13.475,.0041666669,.82985848,.19444445,.27972028,.31707317,1,0,0,0,0,0,0,0,0,1,0,0,1,133.57948,0,0,133.57948,2,1,0,3,417.70792,584.62341,0,1002.3313,4,1,2,7,1215.2305,584.62341,536.19147,2336.0454,7,2,2,11,2356.2842,854.7514,536.19147,3747.2271,7,2,2,11,2356.2842,854.7514,536.19147,3747.2271,5,1,2,8,1938.5763,270.12799,536.19147,2744.8958,0,0,1,133.5795,3,1002.3313,7,2336.0452,11,3747.2271,15,5171.5273,0,0,1,133.5795,2,417.70789,4,1215.2305,7,2356.2842,8,2679.6226,0,0,0,0,1,584.62341,1,584.62341,2,854.7514,3,1320.7209,0,0,0,0,0,0,2,536.19141,2,536.19141,4,1171.1837,12,4169.1958,6,2261.9146,2,736.09753,4,1171.1837
291,395,6,.41836736,19.358,.0050632912,.035357323,.40944883,.52459013,.45945945,3,0,0,0,0,0,0,0,0,1,0,0,1,420.01605,0,0,420.01605,1,0,0,1,420.01605,0,0,420.01605,1,0,0,1,420.01605,0,0,420.01605,2,4,2,8,556.58362,1115.444,529.00287,2201.0305,3,5,2,10,1091.9666,1239.6439,529.00287,2860.6133,2,5,2,9,671.9505,1239.6439,529.00287,2440.5972,0,0,1,420.01611,1,420.01611,2,687.7254,8,2201.0305,10,2860.6133,0,0,1,420.01611,1,420.01611,1,420.01611,2,556.58374,3,1091.9666,0,0,0,0,0,0,1,267.70929,4,1115.4438,5,1239.6438,0,0,0,0,0,0,0,0,2,529.00293,2,529.00293,9,2440.5972,2,671.95044,5,1239.6438,2,529.00293
292,342,1,.27247956,8.6470003,.0058479533,.42149514,.21428572,.42292491,.3018868,2,0,0,0,0,0,0,0,0,1,0,0,1,250.25455,0,0,250.25455,1,0,3,4,250.25455,0,974.83807,1225.0927,2,1,4,7,495.05453,392.33334,1191.4319,2078.8198,3,2,6,11,1001.6335,898.20587,1798.2688,3698.1082,3,2,6,11,1001.6335,898.20587,1798.2688,3698.1082,2,2,3,7,751.37891,898.20587,823.43073,2473.0156,0,0,1,250.2545,4,1225.0927,8,2584.6921,14,4923.397,19,6406.6714,0,0,1,250.2545,1,250.2545,2,495.0545,3,1001.6334,5,1598.5659,0,0,0,0,0,0,2,898.20581,3,1079.8003,6,1966.1426,0,0,0,0,3,974.83813,4,1191.4319,8,2841.9634,8,2841.9634,15,5181.5786,4,1348.3114,6,1966.1426,5,1867.1252
293,299,7,.25506073,19.114,.013377926,2.2146835,.19444445,.27972028,.31707317,2,0,0,0,0,0,0,0,0,0,2,1,3,0,590.24982,320.23297,910.48279,0,3,1,4,0,860.37781,320.23297,1180.6108,2,3,2,7,743.35461,860.37781,770.30603,2374.0386,3,3,5,11,1058.1715,860.37781,1545.4814,3464.0308,3,3,5,11,1058.1715,860.37781,1545.4814,3464.0308,3,0,4,7,1058.1715,0,1225.2485,2283.4199,0,0,3,910.48279,4,1180.6108,9,2932.7764,12,3999.4133,17,4949.3521,0,0,0,0,0,0,2,743.35474,4,1593.5544,6,1953.0381,0,0,2,590.24976,3,860.37781,3,860.37781,3,860.37781,5,1242.0625,0,0,1,320.233,1,320.233,4,1329.0441,5,1545.4813,6,1754.2512,13,3768.741,6,1953.0381,2,381.68469,5,1434.0182
294,358,7,.25506073,18.136999,.005586592,.29472601,.19444445,.27972028,.31707317,3,0,0,0,0,0,0,0,0,0,1,0,1,0,267.70932,0,267.70932,0,4,0,4,0,1128.0872,0,1128.0872,3,4,0,7,1278.7375,1128.0872,0,2406.8247,5,4,2,11,1730.1219,1128.0872,558.73816,3416.9473,5,4,2,11,1730.1219,1128.0872,558.73816,3416.9473,5,0,2,7,1730.1219,0,558.73816,2288.8601,0,0,1,267.70929,4,1128.0872,7,2406.8245,13,4075.79,17,5048.0977,0,0,0,0,0,0,3,1278.7375,5,1730.1221,8,2485.9927,0,0,1,267.70929,4,1128.0872,4,1128.0872,4,1128.0872,4,1128.0872,0,0,0,0,0,0,0,0,4,1217.5811,5,1434.0182,13,3920.011,8,2485.9927,0,0,5,1434.0182
295,387,7,.25506073,11.699,.0051679588,2.8503764,.19444445,.27972028,.31707317,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,4,817.08295,584.62341,0,1401.7063,5,1,1,7,1682.5433,584.62341,204.95999,2472.1267,6,1,1,8,1997.3602,584.62341,204.95999,2786.9436,6,1,1,8,1997.3602,584.62341,204.95999,2786.9436,0,0,0,0,0,0,6,2089.3721,7,2472.1265,8,2786.9434,0,0,0,0,0,0,4,1299.7886,5,1682.5432,6,1997.3601,0,0,0,0,0,0,1,584.62341,1,584.62341,1,584.62341,0,0,0,0,0,0,1,204.96001,1,204.96001,1,204.96001,8,2786.9434,6,1997.3601,1,584.62341,1,204.96001
296,441,1,.27247956,8.7799997,.0090702949,.13287289,.21428572,.42292491,.3018868,1,0,0,0,0,0,0,0,0,1,0,1,2,482.70569,0,204.95999,687.66565,4,2,1,7,1518.2131,976.95679,204.95999,2700.1299,4,2,2,8,1518.2131,976.95679,519.71936,3014.8892,4,2,5,11,1518.2131,976.95679,1919.5248,4414.6948,4,2,5,11,1518.2131,976.95679,1919.5248,4414.6948,0,0,4,4,0,0,1714.5648,1714.5649,0,0,2,687.66571,7,2700.1296,9,3624.7344,13,5139.2134,18,6811.8184,0,0,1,482.70569,4,1518.213,4,1518.213,5,1917.588,7,2586.5503,0,0,0,0,2,976.95673,2,976.95673,2,976.95673,5,1980.5989,0,0,1,204.96001,1,204.96001,3,1129.5648,6,2244.6687,6,2244.6687,11,4111.6885,3,1068.3373,3,1003.6422,5,2039.7087
297,489,6,.41836736,18.070999,.0061349692,-.25511828,.40944883,.52459013,.45945945,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,338.96512,338.96512,0,0,1,1,0,0,338.96512,338.96512,1,1,2,4,136.56757,267.70932,659.19806,1063.475,2,3,3,8,671.95044,857.95911,867.96796,2397.8774,2,5,3,10,671.95044,1385.572,867.96796,2925.4905,2,5,2,9,671.95044,1385.572,529.00281,2586.5254,0,0,1,338.96509,1,338.96509,4,1063.475,8,2397.8774,10,2925.49,0,0,0,0,0,0,1,136.5676,2,671.95044,2,671.95044,0,0,0,0,0,0,1,267.70929,3,857.95905,5,1385.5718,0,0,1,338.96509,1,338.96509,2,659.19812,3,867.96802,3,867.96802,9,2586.5249,2,671.95044,5,1385.5718,2,529.00293
