sch98v1,age_mean,male_prop,schid,pup_pop,zoneid,prs,t1,elg98,p1,mk96_s,Y98sap1,Y98sap2,Y98sap3,Y98sap4,Istd1,Istd2,Istd3,Istd4,Istd5,Istd6,Istd7,Istd8,Istd9,Isem1,Isem2,Isem3,pop1_3km_updated,pop2_3km_updated,pop1_36k_updated,pop2_36k_updated,popT_36k_updated,popT_3km_updated,wgrp,obs,treatment,control,matched_out,_pscore,_treated,_support,_weight,_prs,_id,_n1,_nn,_pdif,treat_effect,sap_any,pop_3km_pctile,incl_prob1,incl_prob1_alt,incl_prob2
285,12.985221674876847,0.4433497536945813,285,366,1,0.70192307,0,0.88837206,0.37466064,0.067995869,0,0,0,0,0,0.12093023,0.1255814,0.14186047,0.14418605,0.15116279,0.10697675,0.095348835,0.067441858,0.31937984,0.08372093,0,244.8,890.2135,2578.3726,1384.2189,5661.4897,1640.7382,3,1560,0,1,0.77856582,0.3331569704109058,Treated,On support,1,0.7785658240318298,27,14,1,0.0325259402869663,0.076642752,0,1164.6685,0.69999999,0.89999998,0.16470589
193,NA,0.5194805194805194,193,244,7,0.81302524,0,0.86633664,0.27286819,0.17328283,0,0,0,0.77777779,0.054455444,0.11881188,0.14356436,0.11881188,0.13366337,0.094059408,0.10891089,0.069306932,0.089108914,0.43949395,0.084158413,0,1149.5889,584.62341,1819.7161,573.92786,4642.123,1734.2123,3,952,0,1,0.89214253,0.570721100504296,Treated,On support,1,0.8921425342559814,37,21,1,0.0106023280342238,0.079117298,1,1164.6685,0.69999999,0.89999998,0.89999998
211,NA,0.4503311258278146,211,260,2,0.92422503,0,0.84375,0.6731081,-0.23936729,0,0,0,0,0,0.072916664,0.18402778,0.1388889,0.125,0.12152778,0.10069445,0.069444448,0.10763889,0.24729939,0.088734567,0,1265.0491,14.69697,563.17163,1250.042,2320.2493,1745.9827,3,871,0,1,0.94498163,0.713258071950923,Treated,On support,1,0.9449816346168518,40,22,1,0.0011695584309248,0.020756602,0,1164.6685,0.69999999,0.89999998,0.16470589
140,12.933014354066986,0.5167464114832536,140,509,1,0.76110125,0,0.89213485,0.36963043,0.21536191,0,0.77777779,0,0,0.042696629,0.098876402,0.11460674,0.14382023,0.13033707,0.14157303,0.078651689,0.094382025,0.092134833,0.47166044,0.090636708,0,751.37891,708.61902,1115.7148,1463.1136,4340.584,2286.437,3,2252,0,1,0.61636829,0.5476927457545948,Treated,On support,1,0.616368293762207,34,20,1,0.0014257568321234,-0.14473295,1,1164.6685,0.69999999,0.89999998,0.89999998
205,13.04524886877828,0.5294117647058824,205,654,2,0.76771927,0,0.90270936,0.69758427,0.17876194,0,0,0,0,0.0024630541,0.11206897,0.15270936,0.16009852,0.12438424,0.13916256,0.12192118,0.091133006,0.05172414,0.30254516,0.087438427,0,668.32239,2385.3345,555.72302,556.23779,1941.8235,3053.657,3,2850,0,1,0.82798004,0.4274005872921637,Treated,On support,1,0.82798004150390625,30,15,1,0.0028131288858352,0.060260773,0,1164.6685,0.69999999,0.89999998,0.16470589
274,13,0.46236559139784944,274,155,6,0.88467872,1,0.8810811,0.49386689,-0.0065807221,0,0,0,0,0.0054054055,0.10810811,0.11891892,0.17837837,0.14594595,0.091891892,0.11351351,0.081081077,0.075675674,0.27747747,0.087087087,0,0,0,955.39899,743.02692,2997.5273,208.7699,1,607,1,0,0.93514544,0.0893673449394897,Untreated,On support,NA,NA,6,NA,0,NA,-0.050466716,0,1358.0432,0.2,0.06666667,0.20555556
288,12.896694214876034,0.5537190082644629,288,604,6,0.89214253,1,0.88639551,0.49246365,0.24768499,0,0,0,0,0.009817672,0.06171108,0.17671809,0.12342216,0.13604487,0.11640954,0.11781206,0.10518934,0.086956523,0.23437743,0.084930651,0,0,0,2877.2825,1894.3049,6275.6489,208.7699,1,2049,1,0,0.95498395,0.5601187724700722,Untreated,On support,4,NA,21,NA,0,NA,-0.062841415,0,1358.0432,0.2,0.06666667,0.20555556
206,NA,0.5384615384615384,206,579,2,0.840976,1,0.88348085,0.68548733,-0.28057492,0,0,0,0,0.005899705,0.063421831,0.15781711,0.1238938,0.1519174,0.14749263,0.1179941,0.10029498,0.097345136,0.29727957,0.092264831,0,0,14.69697,2174.9468,528.23352,4067.7085,234.07198,1,2377,1,0,0.93514544,0.0334713927556441,Untreated,On support,NA,NA,4,NA,0,NA,-0.094169438,0,1358.0432,0.2,0.06666667,0.20555556
297,NA,0.5210727969348659,297,489,6,0.96515149,1,0.85892856,0.49189609,-0.13363193,0,0,0,0,0.0017857143,0.087499999,0.15000001,0.13392857,0.125,0.12321428,0.10357143,0.11428571,0.1,0.30555555,0.08730159,0,0,0,671.95044,1385.5718,2586.5249,338.96509,1,1980,1,0,0.73839283,0.7722125980273352,Untreated,On support,1,NA,24,NA,0,NA,0.22675866,0,1358.0432,0.2,0.06666667,0.20555556
219,13.221621621621622,0.5513513513513514,219,317,3,0.82798004,1,0.8605898,0.48633057,-0.23586564,0,0,0,0,0.0026809652,0.096514747,0.16621985,0.15549597,0.12332439,0.12332439,0.10187668,0.099195711,0.077747986,0.32588622,0.091450699,0,0,514.23352,1583.9749,607.42664,3911.3501,514.23352,1,1401,1,0,0.76771927,0.4245874584063285,Untreated,On support,2,NA,15,NA,0,NA,0.060260773,0,1358.0432,0.2,0.06666667,0.20555556
267,13.414634146341463,0.524390243902439,267,148,7,0.93075359,1,0.90256411,0.27395943,0.096790791,0,0,0,0,0,0.18974359,0.16923077,0.17435898,0.13846155,0.061538462,0.071794875,0.06666667,0.056410257,0.19715099,0.082621083,0,714.19189,0,2231.2263,1320.7209,4628.1445,714.19189,1,491,1,0,0.80611485,0.4835755042824011,Untreated,On support,1,NA,17,NA,0,NA,0.12463874,0,1358.0432,0.2,0.06666667,0.20555556
216,NA,0.52,216,748,3,0.94498163,1,0.87515008,0.47545475,0.52786726,0,0,0,0,0.0012004802,0.067226894,0.16086435,0.12845138,0.11644658,0.14285715,0.10804322,0.092436977,0.14165667,0.30798987,0.092036813,0,203.64940000000001,514.23352,997.79065,505.8725,1672.0959,717.88293,1,2999,1,0,0.92422503,0.7144276303818478,Untreated,On support,1,NA,22,NA,0,NA,0.020756602,0,1358.0432,0.2,0.06666667,0.20555556
220,NA,0.5458715596330275,220,439,3,0.72111958,1,0.90874523,0.48832127,-1.0960433,0,0,0,0,0.011406844,0.10076046,0.18631178,0.15969582,0.11977186,0.11596958,0.093155891,0.070342205,0.093155891,0.32213771,0.092944659,0,376.59109,0,0,2011.7992,3524.1755,767.84729,1,1965,1,0,0.93514544,0.099420064085247,Untreated,On support,NA,NA,7,NA,0,NA,-0.21402586,0,1358.0432,0.2,0.06666667,0.20555556
210,NA,0.5492424242424242,210,643,2,0.84011394,1,0.86407769,0.678855,-0.53086257,0,0,0,0,0,0.052704576,0.14563107,0.1331484,0.13037448,0.17198336,0.11650486,0.095700413,0.099861301,0.29141626,0.087378643,0,197.7907,14.69697,802.62946,2013.355,3913.3918,898.09924,1,2458,1,0,0.76110125,0.5286653013795994,Untreated,On support,NA,NA,19,NA,0,NA,0.079012692,0,1358.0432,0.2,0.06666667,0.20555556
265,12.875598086124402,0.5119617224880383,265,352,7,0.96020871,1,0.89411765,0.27512535,0.02855086,0,0,0,0,0.0070588235,0.11529412,0.1717647,0.13176471,0.14117648,0.13882352,0.089411765,0.07764706,0.079999998,0.30797386,0.092810459,0,679.83423,270.12799,1218.8862,1908.552,4665.186,949.96222,1,1533,1,0,0.80611485,0.4848040671439071,Untreated,On support,2,NA,18,NA,0,NA,0.15409386,0,1358.0432,0.2,0.06666667,0.20555556
290,NA,0.4625,290,480,7,0.94063401,1,0.83203125,0.27578506,0.43468302,0,0,0,0,0.00390625,0.056640625,0.16210938,0.14453125,0.13671875,0.12695313,0.12695313,0.09765625,0.07421875,0.28841147,0.088107638,0,417.70789,584.62341,2261.9146,736.09753,4169.1958,1002.3313,1,1735,1,0,0.92422503,0.7389667479446028,Untreated,On support,NA,NA,23,NA,0,NA,0.01640898,0,1358.0432,0.2,0.06666667,0.20555556
286,13.162337662337663,0.512987012987013,286,279,1,0.92877227,1,0.89665651,0.36750677,-0.20018844,0,0,0,0,0.015197569,0.054711245,0.17021276,0.1793313,0.11854103,0.11854103,0.10030395,0.08510638,0.088145897,0.27321851,0.087132722,0,0,822.1582,458.97778,954.50806,3623.071,1013.1237,1,1067,1,0,0.93514544,0.134344218171373,Untreated,On support,NA,NA,9,NA,0,NA,-0.006373167,0,1358.0432,0.2,0.06666667,0.20555556
268,12.6651376146789,0.6238532110091743,268,419,5,0.94256544,1,0.89878541,0.4989737,0.2839008,0,0,0,0,0.0020242915,0.097165994,0.14979757,0.17004049,0.10931174,0.12550607,0.085020244,0.080971658,0.10323887,0.26203328,0.090418354,0,399.0152,775.75714,0,505.7619,3235.8335,1174.7723,1,1567,1,0,0.93514544,0.1207430375438623,Untreated,On support,NA,NA,8,NA,0,NA,0.0074200034,0,1358.0432,0.2,0.06666667,0.20555556
158,12.753623188405797,0.4492753623188406,158,210,2,0.47071353,1,0.93927127,0.71901017,-0.14849591,0,0,0.77777779,0,0.16194332,0.1902834,0.1659919,0.10526316,0.13765182,0.052631579,0.056680162,0.06477733,0.036437247,0.3234368,0.098965362,0,555.72302,0,802.62952,28.69697,831.32648,1241.3346,1,939,1,0,0.93514544,0.1547073265837403,Untreated,On support,NA,NA,10,NA,0,NA,-0.46443191,1,1358.0432,0.2,0.06666667,0.89999998
165,NA,0.49056603773584906,165,251,8,0.71986973,1,0.88104087,0.29337534,-0.31434938,0,0,0.77777779,0,0.133829,0.15613383,0.133829,0.11152416,0.11524164,0.092936806,0.085501857,0.066914499,0.059479553,0.41387856,0.093349859,0,638.15552,465.9696,532.95447,1128.087,2647.7847,1323.8981,1,1228,1,0,0.93514544,0.25193748825662,Untreated,On support,1,NA,13,NA,0,NA,-0.2152757,1,1358.0432,0.2,0.06666667,0.89999998
117,NA,0.5346534653465347,117,244,5,0.71521944,1,0.88671875,0.50771379,-0.68185455,0.77777779,0,0,0,0.11328125,0.23828125,0.11328125,0.09765625,0.1015625,0.09765625,0.08203125,0.0625,0.0546875,0.375,0.08984375,0,203.64940000000001,1020.106,1176.9442,403.14276,2204.9014,1392.1882,1,1071,1,0,0.93514544,0.0237591033667335,Untreated,On support,NA,NA,2,NA,0,NA,-0.219926,1,1358.0432,0.69999999,0.89999998,0.89999998
279,NA,0.5413793103448276,279,542,1,0.95540625,1,0.89060092,0.36665481,0.33095631,0,0,0,0,0.0015408321,0.11710323,0.14175655,0.12634823,0.11093991,0.15562403,0.10631741,0.077041604,0.10939907,0.18455744,0.09570279,0,666.88306,584.62341,1819.7163,573.92786,4642.123,1456.4664,1,1637,1,0,0.93514544,0.05255149664188,Untreated,On support,NA,NA,5,NA,0,NA,0.020260811,0,1358.0432,0.69999999,0.89999998,0.20555556
281,NA,0.5149700598802395,281,241,5,0.93103451,1,0.84501845,0.49457058,0.16376407,0,0,0,0,0.0036900369,0.081180811,0.095940962,0.10332103,0.17343174,0.099630997,0.12915128,0.12546125,0.11808118,0.30299303,0.08938089,0,868.78998,514.23352,783.61298,505.8725,1723.3341,1551.4563,1,957,1,0,0.93514544,0.0067165011098104,Untreated,On support,NA,NA,1,NA,0,NA,-0.0041109324,0,1358.0432,0.69999999,0.89999998,0.20555556
143,13.102941176470589,0.6029411764705882,143,348,8,0.73076922,1,0.92372882,0.29073784,-0.2562418,0,0.77777779,0,0,0.036723163,0.19774011,0.1779661,0.12146892,0.09039548,0.09039548,0.096045196,0.076271184,0.06779661,0.37821719,0.078782171,0,537.73303,860.37781,1068.3373,733.67883,2572.3223,1834.321,1,1456,1,0,0.93514544,0.1598332282696334,Untreated,On support,NA,NA,11,NA,0,NA,-0.20437622,1,1358.0432,0.69999999,0.89999998,0.89999998
191,12.46808510638298,0.6276595744680851,191,326,6,0.61636829,1,0.89999998,0.50489712,-0.38421533,0,0,0,0.77777779,0.12258065,0.14193548,0.11935484,0.11290322,0.12580645,0.14193548,0.070967741,0.077419356,0.064516127,0.33835125,0.082078852,0,1264.8354,584.62341,1735.158,392.33331,3307.3962,2054.4189,1,1173,1,0,0.76110125,0.5462669889224714,Untreated,On support,2,NA,20,NA,0,NA,-0.14473295,1,1358.0432,0.69999999,0.89999998,0.89999998
207,NA,0.5864661654135338,207,325,4,0.8291949,1,0.89567429,0.78911567,-0.53319746,0,0,0,0,0,0.11959288,0.20356233,0.11959288,0.15012723,0.14249364,0.10178117,0.071246818,0.055979643,0.28357366,0.092168503,0,0,1485.8142,1642.2773,1455.7581,5042.9023,2076.186,1,1329,1,0,0.93514544,0.2276432138052626,Untreated,On support,NA,NA,12,NA,0,NA,-0.10595053,0,1358.0432,0.69999999,0.89999998,0.20555556
115,12.821100917431192,0.5321100917431193,115,560,1,0.74466431,1,0.91794872,0.37788996,-0.22816463,0.77777779,0,0,0,0.063247867,0.17435898,0.15042736,0.12307692,0.1025641,0.1008547,0.078632481,0.087179489,0.071794875,0.39544159,0.094017096,0,627.55469,392.33331,766.83411,1866.8083,3987.1772,2088.4619,1,2577,1,0,0.80611485,0.4573684169800905,Untreated,On support,NA,NA,16,NA,0,NA,-0.061450541,1,1358.0432,0.69999999,0.89999998,0.89999998
142,12.915966386554622,0.46218487394957986,142,272,1,0.77856582,1,0.89864862,0.37108353,0.38144183,0,0.77777779,0,0,0.040540539,0.17567568,0.15878378,0.13851352,0.067567565,0.081081077,0.14864865,0.064189188,0.070945948,0.38738739,0.088963963,0,889.33362,392.33331,1017.0885,1588.2656,4328.5664,2380.2991,1,1269,1,0,0.69726563,0.3656829106978721,Untreated,On support,2,NA,14,NA,0,NA,0.081300199,1,1358.0432,0.69999999,0.89999998,0.89999998
296,NA,0.5078740157480315,296,441,1,0.9482221,1,0.86792451,0.3678706,0.06959933,0,0,0,0,0,0.12075472,0.16792452,0.10943396,0.12830189,0.13207547,0.096226417,0.088679247,0.10943396,0.26058701,0.075471699,0,1518.213,976.95673,1068.3373,1003.6422,4111.6885,2700.1296,1,1603,1,0,0.93514544,0.0332992652164357,Untreated,On support,NA,NA,3,NA,0,NA,0.013076663,0,1358.0432,0.69999999,0.89999998,0.20555556
215,12.88,0.56,215,406,2,0.67392617,1,0.92913383,0.69955587,-0.10926324,0,0,0,0,0,0.12007874,0.2027559,0.18307087,0.13188976,0.092519686,0.070866145,0.08858268,0.05905512,0.28280839,0.078740157,0,0,2385.3345,291.09409,541.54102,1112.0488,2975.7063,1,1653,1,0,0.56562793,0.8268177958877659,Untreated,On support,9,NA,25,NA,0,NA,0.10829824,0,1358.0432,0.69999999,0.89999998,0.20555556
